Geo Point;Geo Shape;ID;Code TAF/TAP;Nom symbolique;Abréviation LST FR courte;Abréviation LST NL courte;Abréviation LST FR complète;Abréviation LST NL complète;Nom FR court;Nom NL court;Nom FR moyen;Nom NL moyen;Nom FR complet;Nom NL complet;Classification en néerlandais;Classification en anglais;Classification en anglais
51.0855587543,3.71885559125;"{""type"": ""Point"", ""coordinates"": [3.718855591254589, 51.08555875432929]}";1888;BE01888;FWOB;WONDELGEM-B;WONDELGEM-B;WONDELGEM-BUNDEL;WONDELGEM-BUNDEL;Wondelgem-B;Wondelgem-B;Wondelgem-Bundel;Wondelgem-Bundel;Wondelgem-Bundel;Wondelgem-Bundel;Station;Gare;Gare
51.3058840001,4.29496199554;"{""type"": ""Point"", ""coordinates"": [4.294961995542717, 51.30588400013991]}";1747;BE01747;VEVKA;V.EVONIK;V.EVONIK;VERB.EVONIK DEGUSSA ANTWERPEN;VERB.EVONIK DEGUSSA ANTWERPEN;V.Evonik;V.Evonik;Verb.Evonik Degussa;Verb.Evonik Degussa;Verb.Evonik Degussa Antwerpen;Verb.Evonik Degussa Antwerpen;Verbinding;Raccordement;Raccordement
50.607652646,5.58059855772;"{""type"": ""Point"", ""coordinates"": [5.580598557719299, 50.60765264604529]}";2018;BE02018;NKA;KINKEMP-ATDE;KINKEMP-ATDE;KINKEMPOIS-A.T./D.E.;KINKEMPOIS-A.T./D.E.;Kinkemp-ATDE;Kinkemp-ATDE;Kinkempois-A.T./D.E.;Kinkempois-A.T./D.E.;Kinkempois-A.T./D.E.;Kinkempois-A.T./D.E.;Dienstinstallatie;Installation de service;Installation de service
50.4181747272,4.53368481131;"{""type"": ""Point"", ""coordinates"": [4.533684811311468, 50.41817472724556]}";265;BE00265;FCLCW;CHATELET-CW;CHATELET-CW;CHATELET-CARWASH;CHATELET-CARWASH;Châtelet-Cw;Châtelet-Cw;Châtelet-Carwash;Châtelet-Carwash;Châtelet-Carwash;Châtelet-Carwash;Dienstinstallatie;Installation de service;Installation de service
50.4005740005,4.4588269954;"{""type"": ""Point"", ""coordinates"": [4.458826995398574, 50.400574000467884]}";275;BE00275;GCRA;CHARLEROI-AT;CHARLEROI-AT;CHARLEROI-A.T.;CHARLEROI-A.T.;Charleroi-AT;Charleroi-AT;Charleroi-A.T.;Charleroi-A.T.;Charleroi-A.T.;Charleroi-A.T.;Dienstinstallatie;Installation de service;Installation de service
50.4113311265,4.52244172841;"{""type"": ""Point"", ""coordinates"": [4.522441728411641, 50.411331126516025]}";1978;BE01978;FCLGS;CHATELET-GAS;CHATELET-GAS;CHATELET-GASOIL;CHATELET-GASOIL;Châtelet-Gas;Châtelet-Gas;Châtelet-Gasoil;Châtelet-Gasoil;Châtelet-Gasoil;Châtelet-Gasoil;Dienstinstallatie;Installation de service;Installation de service
50.4535023061,4.82260710777;"{""type"": ""Point"", ""coordinates"": [4.822607107768869, 50.453502306078256]}";1010;BE01010;FEOPE;RONET-PE;RONET-PE;RONET-P.E.;RONET-P.E.;Ronet-PE;Ronet-PE;Ronet-P.E.;Ronet-P.E.;Ronet-P.E.;Ronet-P.E.;Dienstinstallatie;Installation de service;Installation de service
50.605957578,5.56846142064;"{""type"": ""Point"", ""coordinates"": [5.568461420641612, 50.60595757803702]}";1036;BE01036;RENO2;RENORY 2;RENORY 2;RENORY 2;RENORY 2;Renory 2;Renory 2;Renory 2;Renory 2;Renory 2;Renory 2;Verbinding;Raccordement;Raccordement
50.6039130005,5.55094399504;"{""type"": ""Point"", ""coordinates"": [5.550943995036303, 50.60391300053018]}";1679;BE01679;RNSR6;R.COCKERILL6;R.COCKERILL6;RACC.SERAING-COCKERILL-6;RACC.SERAING-COCKERILL-6;R.Cockerill6;R.Cockerill6;Racc.Cockerill-6;Racc.Cockerill-6;Racc.Seraing-Cockerill-6;Racc.Seraing-Cockerill-6;Verbinding;Raccordement;Raccordement
51.3083020001,4.29024099554;"{""type"": ""Point"", ""coordinates"": [4.290240995544574, 51.30830200013857]}";1749;BE01749;VOIL2;V.OILTANK2;V.OILTANK2;VERB.OILTANKING 2;VERB.OILTANKING 2;V.Oiltank2;V.Oiltank2;Verb.Oiltanking 2;Verb.Oiltanking 2;Verb.Oiltanking 2;Verb.Oiltanking 2;Verbinding;Raccordement;Raccordement
51.2504415004,4.22754265695;"{""type"": ""Point"", ""coordinates"": [4.227542656950161, 51.25044150039919]}";660;BE00660;FNWHZ;B.ZUID;B.ZUID;ANTWERPEN-W.H.-B.ZUID;ANTWERPEN-W.H.-B.ZUID;B.Zuid;B.Zuid;Antw-WH-B.Zuid;Antw-WH-B.Zuid;Antwerpen-W.H.-B.Zuid;Antwerpen-W.H.-B.Zuid;Station;Gare;Gare
